tweet_id,retweet_count,favourite_count
892420643555336193,6982,33745
892177421306343426,5284,29274
891815181378084864,3469,22003
891689557279858688,7205,36855
891327558926688256,7730,35235
891087950875897856,2593,17771
890971913173991426,1651,10350
890729181411237888,15707,56734
890609185150312448,3609,24464
890240255349198849,6085,27888
890006608113172480,6128,26988
889880896479866881,4149,24522
889665388333682689,8320,41957
889638837579907072,3705,23616
889531135344209921,1876,13330
889278841981685760,4430,22067
888917238123831296,3753,25576
888804989199671297,3519,22418
888554962724278272,2870,17279
888078434458587136,2888,19121
887705289381826560,4525,26567
887517139158093824,9824,40646
887473957103951883,14983,60076
887343217045368832,8792,29531
887101392804085760,4975,26929
886983233522544640,6296,30298
886736880519319552,2621,10481
886680336477933568,3726,19694
886366144734445568,2619,18515
886267009285017600,4,105
886258384151887873,5265,24478
886054160059072513,93,0
885984800019947520,5595,28554
885528943205470208,5315,31545
885518971528720385,3102,17972
885311592912609280,15397,0
885167619883638784,3660,19211
884925521741709313,14973,67145
884876753390489601,4652,24332
884562892145688576,3901,21273
884441805382717440,4782,23814
884247878851493888,16863,63142
884162670584377345,2496,17914
883838122936631299,2852,19125
883482846933004288,8236,40109
883360690899218434,3063,19912
883117836046086144,5518,32444
882992080364220416,3232,20942
882762694511734784,4082,24742
882627270321602560,5049,24555
882268110199369728,9600,39109
882045870035918850,4071,25669
881906580714921986,2843,21409
881666595344535552,8926,44455
881633300179243008,8,113
881536004380872706,13365,43348
881268444196462592,4486,20449
880935762899988482,2329,15020
880872448815771648,3195,18684
880465832366813184,5202,24978
880221127280381952,3456,23620
880095782870896641,3640,24283
879862464715927552,2916,19665
879674319642796034,9,281
879492040517615616,2624,20672
879415818425184262,37343,92656
879376492567855104,2639,14834
879130579576475649,5723,0
879050749262655488,3943,19775
879008229531029506,2235,16752
878776093423087618,3424,17109
878604707211726852,5911,26391
878404777348136964,1075,0
878316110768087041,5515,0
878281511006478336,1075,6766
878057613040115712,5723,37085
877736472329191424,15759,69151
877611172832227328,70,0
877556246731214848,3161,19865
877316821321428993,4331,24101
877201837425926144,4613,23824
876838120628539392,2798,18190
876537666061221889,3963,21019
876484053909872640,1993,16532
876120275196170240,3895,24645
875747767867523072,3573,22064
875144289856114688,4140,19394
875097192612077568,5105,24212
875021211251597312,3961,22515
874680097055178752,3911,24566
874434818259525634,12176,0
874296783580663808,3474,22923
874057562936811520,3371,20080
874012996292530176,8572,30069
873580283840344065,3337,21345
873337748698140672,1326,0
873213775632977920,1326,6313
872967104147763200,4548,24021
872820683541237760,3163,13054
872620804844003328,3061,18301
872486979161796608,7699,36051
872122724285648897,6813,30159
871879754684805121,9220,33023
871762521631449091,2962,17858
871515927908634625,2929,17866
871166179821445120,4881,0
871102520638267392,4662,18512
871032628920680449,3216,20132
870804317367881728,5271,29739
870726314365509632,3,105
870656317836468226,2198,10874
870374049280663552,22698,73832
870308999962521604,3542,19455
870063196459192321,7059,32354
869772420881756160,8673,37944
869702957897576449,5373,25000
869596645499047938,2629,14166
869227993411051520,3193,18105
868880397819494401,12226,57848
868639477480148993,1746,0
868622495443632128,4451,23611
868552278524837888,1746,8951
867900495410671616,3562,21563
867774946302451713,6238,30225
867421006826221569,2110,14326
867072653475098625,101,0
867051520902168576,6764,28663
866720684873056260,4125,17840
866686824827068416,2961,17094
866450705531457537,30111,108670
866334964761202691,12176,46507
866094527597207552,7148,0
865718153858494464,4830,22891
865359393868664832,4277,23561
865006731092295680,6648,25002
864873206498414592,7487,28808
864279568663928832,2575,13056
864197398364647424,7573,26607
863907417377173506,3581,18409
863553081350529029,3622,13655
863471782782697472,2089,0
863432100342583297,4547,21255
863427515083354112,80,1957
863079547188785154,951,7888
863062471531167744,2089,7520
862831371563274240,4451,17201
862722525377298433,3084,15320
862457590147678208,4236,18249
862096992088072192,19940,66168
861383897657036800,9248,32239
861288531465048066,3580,15326
861005113778896900,3328,14969
860981674716409858,1853,0
860924035999428608,676,0
860563773140209665,1853,6716
860524505164394496,4594,21226
860276583193509888,3061,16554
860184849394610176,5113,14992
860177593139703809,26678,0
859924526012018688,3576,17612
859851578198683649,3064,13958
859607811541651456,1362,16813
859196978902773760,26208,80427
859074603037188101,11939,30383
858860390427611136,7069,0
858843525470990336,3022,14102
858471635011153920,4250,19457
858107933456039936,2535,14217
857989990357356544,2263,14477
857746408056729600,9328,30761
857393404942143489,1438,5300
857214891891077121,16,203
857062103051644929,148,0
857029823797047296,3479,17026
856543823941562368,2544,14816
856526610513747968,1651,10810
856288084350160898,15,487
856282028240666624,5570,25200
855862651834028034,21,303
855860136149123072,851,4402
855857698524602368,1856,10849
855851453814013952,16105,41859
855818117272018944,4803,24251
855459453768019968,7293,27056
855245323840757760,5258,0
855138241867124737,36,0
854732716440526848,5338,20655
854482394044301312,6007,26543
854365224396361728,4141,17177
854120357044912130,6584,29189
854010172552949760,2787,14821
853760880890318849,5112,26049
853639147608842240,8863,31517
853299958564483072,3167,14153
852936405516943360,1785,0
852912242202992640,1597,8245
852672615818899456,1907,13625
852553447878664193,3113,14884
852311364735569921,8864,30313
852226086759018497,6081,18325
852189679701164033,1417,10563
851591660324737024,3124,14940
851464819735769094,6301,22241
851224888060895234,5165,19024
850753642995093505,8067,28119
850380195714523136,2327,12067
850333567704068097,301,3189
850145622816686080,3390,15031
850019790995546112,4366,18766
